173,Westmeath,National,N55,1,1,3,5,53.494534,-7.855129,53.52448,-7.798424,5.28,Current
179,Westmeath,Regional,R392,0,2,2,4,53.5347,-7.312433,53.525922,-7.340867,2.29,Current
182,Westmeath,National,N4,0,1,5,6,53.669798,-7.542291,53.648618,-7.509206,3.25,Current
185,Carlow,Regional,R726,0,1,0,1,52.843507,-6.726571,52.843563,-6.776651,3.68,Current
188,Carlow,Regional,R448,0,1,5,6,52.845033,-6.914067,52.8334,-6.932744,1.91,Current
190,Carlow,Regional,R448,1,0,4,5,52.82835,-6.936984,52.792099,-6.946697,4.39,Current
195,Cavan,Regional,R195,0,2,1,3,53.818808,-7.13405,53.839887,-7.104505,3.63,Current
196,,Cavan,National,N3,1,0,3,4,53.871352,-7.120773,53.836479,-7.086294,4.54,Current
197,,Cavan,Regional,R194,0,2,5,7,53.86455,-7.188698,53.845762,-7.260542,5.55,New
198,Urban Road/Urban Street/Unclassified,Cavan,Could not identify Road Name,0,1,0,1,53.840071,-7.370106,53.836433,-7.349548,1.52,Current,
206,,Cavan,Regional,R197,0,0,6,6,54.090845,-7.479794,54.084921,-7.425062,5.71,Current
209,,Cavan,Regional,R198,0,0,10,10,53.998905,-7.37473,53.95709,-7.367878,5.36,Current
211,,Cavan,National,N3,1,0,4,5,53.981247,-7.250556,53.933608,-7.217771,6.08,Current
212,,Cavan,Regional,R162,1,2,6,9,53.894514,-6.802654,53.940994,-6.831514,5.77,Current
213,,Cork,National,N71,0,1,2,3,51.547707,-9.316325,51.54288,-9.344223,2.09,New
214,,Cork,Regional,R593,0,2,1,3,51.563298,-9.264927,51.545687,-9.265131,2.15,Current
219,,Cork,National,N28,1,1,4,6,51.832163,-8.391525,51.832867,-8.346192,3.27,New
220,,Cork,National,N28,0,4,5,9,51.877387,-8.413517,51.83296,-8.393064,5.95,Current
222,,Cork,Regional,R610,0,3,6,9,51.851474,-8.331341,51.877321,-8.378789,5.65,Current
223,,Cork,Regional,R624,0,1,5,6,51.873526,-8.323906,51.897322,-8.281163,4.6,Current
224,,Cork,Regional,R630,0,1,6,7,51.856993,-8.163181,51.888699,-8.16568,3.67,Current
225,,Cork,National,N25,1,1,6,8,51.910095,-8.183128,51.906283,-8.270664,6.35,Current
226,,Cork,National,N25,1,4,11,16,51.913177,-8.048745,51.906584,-8.166553,9.26,Current
228,,Cork,National,N72,1,1,1,3,52.144221,-8.384931,52.142,-8.276801,7.74,Current
231,,Cork,National,N20,0,3,9,12,52.264819,-8.664764,52.182735,-8.670825,10.82,Current
233,,Cork,Local,L1220,0,2,0,2,52.135669,-8.640177,52.148378,-8.617459,2.13,Current
234,,Cork,National,N72,2,0,2,4,52.135656,-8.671227,52.129767,-8.764977,6.71,Current
235,,Cork,National,N72,0,2,15,17,52.128797,-8.77145,52.136267,-8.940663,14.19,Current
237,,Cork,Regional,R515,1,0,3,4,52.346006,-8.731539,52.362977,-8.658304,5.53,Current
238,,Cork,National,N22,0,1,2,3,51.880506,-8.688656,51.867518,-8.751974,4.64,Current
243,,Cork,National,N20,1,0,5,6,51.93069,-8.524093,51.947483,-8.567356,3.79,Current
246,,Cork,Regional,R639,1,0,1,2,51.955649,-8.390042,51.942025,-8.397515,1.7,New
247,,Cork,Regional,R586,0,2,1,3,51.721777,-9.026624,51.723597,-9.080298,3.99,Current
248,,Dublin,Regional,R132,0,1,7,8,53.599967,-6.185746,53.61281,-6.188607,1.59,Current
249,,Dublin,Regional,R127,0,1,0,1,53.586151,-6.143006,53.597129,-6.16165,1.98,Current
251,,Dublin,Regional,R106,0,2,11,13,53.45116,-6.147267,53.416024,-6.178003,5.31,Current
252,,Dublin,Regional,R132,0,0,12,12,53.413129,-6.238984,53.427707,-6.229529,1.86,Current
254,,Dublin,Local,L3016,0,1,2,3,53.390356,-6.408635,53.401188,-6.400307,1.36,Current
255,,Dublin,Local,L3090,0,2,3,5,53.403943,-6.358805,53.398081,-6.332871,2.08,Current
256,,Dublin,Regional,R135,2,6,39,47,53.403398,-6.310797,53.367585,-6.272903,5.09,Current
257,Dublin,Regional,R816,0,1,26,27,53.332064,-6.235711,53.333802,-6.244927,0.66,Current
259,Dublin,Regional,R817,0,5,35,40,53.30277,-6.308635,53.326326,-6.278169,3.62,Current
261,Dublin,Regional,R113,0,1,19,20,53.308705,-6.386186,53.285648,-6.365907,3.01,Current
262,Dublin,Regional,R112,0,4,35,39,53.317547,-6.333834,53.338384,-6.34787,3,Current
263,Dublin,Regional,R121,0,1,3,4,53.414267,-6.386413,53.402639,-6.39721,1.5,Current
264,Dublin,Regional,R101,2,7,69,78,53.360544,-6.269381,53.350146,-6.233991,2.77,Current
265,Meath,Regional,R402,2,0,1,3,53.386494,-6.886914,53.414568,-6.832474,5,Current
267,Kildare,Regional,R405,0,1,8,9,53.381328,-6.590845,53.367041,-6.566376,2.54,Current
268,Kildare,Local,L1016,1,0,0,1,53.325358,-6.549395,53.303392,-6.559402,2.67,Current
269,Kildare,Regional,R403,0,0,7,7,53.294796,-6.682707,53.322771,-6.612458,5.75,Current
270,Kildare,Regional,R407,1,4,7,12,53.388358,-6.698969,53.293456,-6.687324,12.41,Current
272,Kildare,Regional,R403,0,2,4,6,53.282742,-6.895155,53.285907,-6.811205,5.61,Current
273,Kildare,Regional,R415,0,1,1,2,53.274544,-6.858002,53.259783,-6.848525,1.9,Current
